danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.396,0.452,-8.809,0.0326,0.814,0.0,0.192,0.307,103.264,dedicated to the one i love,the mamas & the papas,0
0.383,0.558,-10.319,0.0514,0.0303,3.98e-05,0.555,0.207,102.508,strawberry fields forever,the beatles,0
0.633,0.385,-9.967,0.0358,0.411,8.72e-05,0.095,0.647,113.956,penny lane,the beatles,0
0.489,0.208,-14.906,0.0306,0.653,1.87e-06,0.102,0.48,81.489,close your eyes,peaches & herb,0
0.558,0.524,-10.528,0.0339,0.109,0.0,0.17,0.727,123.243,my back pages,the byrds,0
0.504,0.578,-9.302,0.031,0.408,0.0,0.321,0.654,132.411,somebody to love,jefferson airplane,0
0.575,0.764,-7.448,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,can't take my eyes off you,frankie valli,0
0.453,0.495,-7.86,0.0281,0.663,0.0,0.13,0.427,85.852,funny familiar forgotten feelings,tom jones,0
0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,light my fire,the doors,0
0.551,0.293,-12.503,0.0272,0.486,0.000273,0.0864,0.322,106.798,white rabbit,jefferson airplane,0
0.423,0.384,-12.503,0.0315,0.729,4.11e-06,0.27,0.521,90.43,to love somebody,bee gees,0
0.491,0.583,-10.964,0.0376,0.185,0.0,0.406,0.908,150.566,brown eyed girl,van morrison,0
0.364,0.483,-8.22,0.0317,0.281,1.53e-06,0.113,0.7,102.967,all you need is love,the beatles,0
0.699,0.467,-8.578,0.0375,0.685,0.0,0.315,0.764,119.287,people are strange,the doors,0
0.603,0.271,-10.083,0.0284,0.679,0.0,0.141,0.405,110.89,(you make me feel like) a natural woman,aretha franklin,0
0.51,0.488,-10.304,0.0304,0.256,0.0,0.11,0.649,125.683,daydream believer,the monkees,0
0.684,0.698,-6.219,0.041,0.332,5.16e-06,0.122,0.839,132.846,love me two times,the doors,0
0.568,0.75,-8.913,0.0466,0.0731,0.0,0.121,0.407,75.82,nobody but me,the human beinz,0
0.507,0.847,-5.987,0.0411,0.0751,0.237,0.372,0.566,98.096,foxey lady,jimi hendrix,0
0.464,0.824,-7.359,0.0374,0.467,0.018,0.33,0.539,109.298,she's a rainbow,the rolling stones,0
